                 obj        F275W      dF275W        F336W      dF336W        F475W      dF475W        F625W      dF625W        F775W      dF775W        F160W      dF160W   
           zeropoint    23.986890    0.000683    24.557124    0.000750    25.583305    0.000806    25.417723    0.000840    24.748125    0.000837    25.808878    0.001040   
       sig_intrinsic     0.001586    0.000725     0.002319    0.000514     0.002015    0.000489     0.001808    0.000683     0.000715    0.000509     0.007089    0.000526   
                  nu     1.722635    0.251860     2.804950    0.507257     1.966985    0.291423     1.784846    0.283701     1.427773    0.170435          NaN         NaN   
   atlas020.50302230    17.670878    0.002755    17.994382    0.002988    18.459567    0.003067    18.922057    0.002576    19.320201    0.002977    20.705339    0.006853   
             g191b2b    10.490416    0.001028    10.890414    0.001196    11.499573    0.001289    12.030051    0.001390    12.450271    0.001609    13.882105    0.001652   
               gd153    12.203705    0.001513    12.567944    0.001343    13.097709    0.001546    13.598699    0.001518    14.003465    0.001295    15.419830    0.002042   
                gd71    11.985319    0.001446    12.330068    0.001566    12.793880    0.001407    13.276400    0.001560    13.673050    0.001440    15.066557    0.002186   
          sssj023824    17.790227    0.003087    17.972097    0.002290    18.094816    0.002255    18.438605    0.002940    18.756889    0.002874    19.991759    0.005148   
          sssj045822    17.023484    0.002163    17.350911    0.002688    17.754430    0.002695    18.216541    0.001986    18.600814    0.002260    19.999491    0.005165   
          sssj054114    18.020603    0.002962    18.215370    0.003379    18.275818    0.002345    18.624433    0.002111    18.959598    0.002676    20.193676    0.005428   
          sssj063941    17.321644    0.003012    17.652889    0.003872    18.177515    0.002641    18.638541    0.003225    19.016827    0.002458    20.380283    0.005647   
          sssj095657    17.697707    0.003269    17.859301    0.003021    17.861681    0.002616    18.178556    0.002410    18.496729    0.002161    19.690131    0.005017   
          sssj105525    17.370308    0.002470    17.653444    0.002390    18.012909    0.001955    18.427022    0.002313    18.793276    0.002892    20.134837    0.005321   
          sssj143459    17.837891    0.004034    17.976889    0.003519    17.967950    0.002660    18.285372    0.001998    18.584376    0.002400    19.759308    0.005456   
          sssj183717    17.642083    0.002981    17.791202    0.002936    17.770408    0.002141    18.091713    0.002108    18.411321    0.002043    19.605928    0.004831   
          sssj193018    16.729360    0.001952    17.033586    0.002496    17.483987    0.001700    17.927291    0.001889    18.300670    0.002257    19.655480    0.004865   
              wd0418    15.582498    0.001444    15.890650    0.001615    16.223211    0.001532    16.661856    0.001959    17.038799    0.001232    18.410215    0.002832   
              wd0757    18.311213    0.003427    18.495797    0.004674    18.818531    0.003097    19.146580    0.003538    19.445878    0.003381    20.897034    0.008937   
              wd1203    15.736571    0.002664    16.040905    0.001622    16.475741    0.001809    16.923224    0.002945    17.293266    0.001837    18.648831    0.004408   
              wd1529    15.599097    0.002716    15.968772    0.002312    16.552761    0.001968    17.049637    0.001846    17.457074    0.001424    18.890130    0.003043   
              wd2314    17.896917    0.002638    18.140965    0.003391    18.349247    0.003131    18.747537    0.003268    19.105627    0.002698    20.423351    0.005976   
