g191b2b G191B2B
gd153 GD153
gd71 GD71
atlas020.50302230 WDFS0122-30
atlas020 WDFS0122-30
sdssj102430 WDFS1024-00
sdssj010322 WDFS0103-00
sdssj022817 WDFS0228-08
sdssj024854 WDFS0248+33
sdssj072752 WDFS0727+32
sdssj081508 WDFS0815+07
sdssj111059 WDFS1110-17
sdssj111127 WDFS1111+39
sdssj121405 WDFS1214+45
sdssj130234 WDFS1302+10
sdssj151421 WDFS1514+00
sdssj155745 WDFS1557+55
sdssj181424 WDFS1814+78
sdssj210150 WDFS2101-05
sdssj235144 WDFS2351+37
sdssj120650 WDFS1206+02
sdssj131445 WDFS1314-03
sdssj163800 WDFS1638+00
sdssj232941 WDFS2329+00
sssj023824 WDFS0238-36
sssj045822 WDFS0458-56
sssj054114 WDFS0541-19
sssj063941 WDFS0639-57
sssj095657 WDFS0956-38
sssj105525 WDFS1055-36
sssj143459 WDFS1434-28
sssj183717 WDFS1837-70
sssj193018 WDFS1930-52
wd1203 WDFS1206-27
wd1529 WDFS1535-77
wd2314 WDFS2317-29
